"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,30 Jun 2022 19:56:13.403,30 Jun 2022 20:03:46.503,453.100
81,30 Jun 2022 21:33:15.941,30 Jun 2022 21:36:44.849,208.908
82,1 Jul 2022 08:14:07.828,1 Jul 2022 08:22:07.191,479.363
83,1 Jul 2022 19:52:56.711,1 Jul 2022 20:00:28.927,452.215
84,1 Jul 2022 21:29:56.690,1 Jul 2022 21:33:30.476,213.786
85,2 Jul 2022 08:10:50.687,2 Jul 2022 08:18:50.199,479.512
86,2 Jul 2022 19:49:40.026,2 Jul 2022 19:57:11.341,451.315
87,2 Jul 2022 21:26:37.504,2 Jul 2022 21:30:16.025,218.521
88,3 Jul 2022 08:07:33.554,3 Jul 2022 08:15:33.202,479.649
89,3 Jul 2022 19:46:23.348,3 Jul 2022 19:53:53.747,450.398
90,3 Jul 2022 21:23:18.381,3 Jul 2022 21:27:01.518,223.137
91,4 Jul 2022 08:04:16.428,4 Jul 2022 08:12:16.200,479.772
92,4 Jul 2022 19:43:06.677,4 Jul 2022 19:50:36.143,449.466
93,4 Jul 2022 21:19:59.314,4 Jul 2022 21:23:46.946,227.632
94,5 Jul 2022 08:00:59.310,5 Jul 2022 08:08:59.193,479.883
95,5 Jul 2022 19:39:50.012,5 Jul 2022 19:47:18.531,448.518
96,5 Jul 2022 21:16:40.301,5 Jul 2022 21:20:32.317,232.016
97,6 Jul 2022 07:57:42.200,6 Jul 2022 08:05:42.181,479.982
98,6 Jul 2022 19:36:33.355,6 Jul 2022 19:44:00.909,447.554
99,6 Jul 2022 21:13:21.340,6 Jul 2022 21:17:17.635,236.295
100,7 Jul 2022 07:54:25.097,7 Jul 2022 08:02:25.164,480.067
101,7 Jul 2022 19:33:16.704,7 Jul 2022 19:40:43.278,446.574
102,7 Jul 2022 21:10:02.427,7 Jul 2022 21:14:02.898,240.471
103,8 Jul 2022 07:51:08.002,8 Jul 2022 07:59:08.142,480.140
104,8 Jul 2022 19:30:00.060,8 Jul 2022 19:37:25.637,445.577
105,8 Jul 2022 21:06:43.560,8 Jul 2022 21:10:48.116,244.556
106,9 Jul 2022 07:47:50.914,9 Jul 2022 07:55:51.115,480.201
107,9 Jul 2022 19:26:43.422,9 Jul 2022 19:34:07.984,444.561
108,9 Jul 2022 21:03:24.736,9 Jul 2022 21:07:33.287,248.551
109,10 Jul 2022 07:44:33.834,10 Jul 2022 07:52:34.083,480.249
110,10 Jul 2022 19:23:26.792,10 Jul 2022 19:30:50.323,443.531
111,10 Jul 2022 21:00:05.953,10 Jul 2022 21:04:18.415,252.461
112,11 Jul 2022 07:41:16.761,11 Jul 2022 07:49:17.046,480.284
113,11 Jul 2022 19:20:10.169,11 Jul 2022 19:27:32.654,442.485
114,11 Jul 2022 20:56:47.214,11 Jul 2022 21:01:03.500,256.286
115,12 Jul 2022 07:37:59.696,12 Jul 2022 07:46:00.003,480.307
116,12 Jul 2022 19:16:53.553,12 Jul 2022 19:24:14.974,441.421
117,12 Jul 2022 20:53:28.508,12 Jul 2022 20:57:48.545,260.037
118,13 Jul 2022 07:34:42.638,13 Jul 2022 07:42:42.956,480.317
119,13 Jul 2022 19:13:36.944,13 Jul 2022 19:20:57.284,440.341
120,13 Jul 2022 20:50:09.837,13 Jul 2022 20:54:33.553,263.716
121,14 Jul 2022 07:31:25.588,14 Jul 2022 07:39:25.903,480.315
122,14 Jul 2022 19:10:20.342,14 Jul 2022 19:17:39.583,439.240
123,14 Jul 2022 20:46:51.201,14 Jul 2022 20:51:18.521,267.321
124,15 Jul 2022 07:28:08.546,15 Jul 2022 07:36:08.846,480.300
125,15 Jul 2022 19:07:03.748,15 Jul 2022 19:14:21.874,438.125
126,15 Jul 2022 20:43:32.598,15 Jul 2022 20:48:03.459,270.861
127,16 Jul 2022 07:24:51.511,16 Jul 2022 07:32:51.783,480.273
128,16 Jul 2022 19:03:47.162,16 Jul 2022 19:11:04.157,436.995
129,16 Jul 2022 20:40:14.026,16 Jul 2022 20:44:48.354,274.328
130,17 Jul 2022 07:21:34.483,17 Jul 2022 07:29:34.716,480.233
131,17 Jul 2022 19:00:30.583,17 Jul 2022 19:07:46.428,435.844
132,17 Jul 2022 20:36:55.485,17 Jul 2022 20:41:33.221,277.736
133,18 Jul 2022 07:18:17.464,18 Jul 2022 07:26:17.644,480.181
134,18 Jul 2022 18:57:14.012,18 Jul 2022 19:04:28.688,434.676
135,18 Jul 2022 20:33:36.973,18 Jul 2022 20:38:18.055,281.082
136,19 Jul 2022 07:15:00.452,19 Jul 2022 07:23:00.567,480.116
137,19 Jul 2022 18:53:57.449,19 Jul 2022 19:01:10.938,433.489
