"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,20 Jun 2022 18:02:54.445,20 Jun 2022 18:10:52.534,478.089
81,21 Jun 2022 04:50:37.064,21 Jun 2022 04:57:29.972,412.908
82,21 Jun 2022 06:26:10.508,21 Jun 2022 06:32:44.546,394.038
83,21 Jun 2022 16:27:03.786,21 Jun 2022 16:28:23.198,79.412
84,21 Jun 2022 17:59:37.274,21 Jun 2022 18:07:35.650,478.376
85,22 Jun 2022 04:47:20.794,22 Jun 2022 04:54:12.420,411.626
86,22 Jun 2022 06:22:52.488,22 Jun 2022 06:29:28.093,395.605
87,22 Jun 2022 16:23:53.978,22 Jun 2022 16:24:58.273,64.295
88,22 Jun 2022 17:56:20.106,22 Jun 2022 18:04:18.761,478.654
89,23 Jun 2022 04:44:04.532,23 Jun 2022 04:50:54.862,410.329
90,23 Jun 2022 06:19:34.479,23 Jun 2022 06:26:11.630,397.152
91,23 Jun 2022 16:20:46.674,23 Jun 2022 16:21:30.835,44.161
92,23 Jun 2022 17:53:02.942,23 Jun 2022 18:01:01.865,478.922
93,24 Jun 2022 04:40:48.280,24 Jun 2022 04:47:37.298,409.018
94,24 Jun 2022 06:16:16.480,24 Jun 2022 06:22:55.161,398.681
95,24 Jun 2022 17:49:45.782,24 Jun 2022 17:57:44.962,479.181
96,25 Jun 2022 04:37:32.036,25 Jun 2022 04:44:19.727,407.692
97,25 Jun 2022 06:12:58.493,25 Jun 2022 06:19:38.683,400.191
98,25 Jun 2022 17:46:28.625,25 Jun 2022 17:54:28.054,479.429
99,26 Jun 2022 04:34:15.801,26 Jun 2022 04:41:02.151,406.350
100,26 Jun 2022 06:09:40.515,26 Jun 2022 06:16:22.198,401.683
101,26 Jun 2022 17:43:11.471,26 Jun 2022 17:51:11.139,479.668
102,27 Jun 2022 04:30:59.574,27 Jun 2022 04:37:44.566,404.992
103,27 Jun 2022 06:06:22.548,27 Jun 2022 06:13:05.705,403.157
104,27 Jun 2022 17:39:54.321,27 Jun 2022 17:47:54.218,479.897
105,28 Jun 2022 04:27:43.357,28 Jun 2022 04:34:26.977,403.621
106,28 Jun 2022 06:03:04.591,28 Jun 2022 06:09:49.204,404.612
107,28 Jun 2022 17:36:37.174,28 Jun 2022 17:44:37.291,480.116
108,29 Jun 2022 04:24:27.148,29 Jun 2022 04:31:09.382,402.234
109,29 Jun 2022 05:59:46.645,29 Jun 2022 06:06:32.695,406.050
110,29 Jun 2022 17:33:20.031,29 Jun 2022 17:41:20.357,480.326
111,30 Jun 2022 04:21:10.949,30 Jun 2022 04:27:51.781,400.832
112,30 Jun 2022 05:56:28.709,30 Jun 2022 06:03:16.182,407.473
113,30 Jun 2022 17:30:02.892,30 Jun 2022 17:38:03.414,480.523
114,1 Jul 2022 04:17:54.758,1 Jul 2022 04:24:34.173,399.414
115,1 Jul 2022 05:53:10.783,1 Jul 2022 05:59:59.659,408.876
116,1 Jul 2022 17:26:45.756,1 Jul 2022 17:34:46.468,480.712
117,2 Jul 2022 04:14:38.577,2 Jul 2022 04:21:16.558,397.981
118,2 Jul 2022 05:49:52.867,2 Jul 2022 05:56:43.128,410.261
119,2 Jul 2022 17:23:28.624,2 Jul 2022 17:31:29.516,480.892
120,3 Jul 2022 04:11:22.406,3 Jul 2022 04:17:58.937,396.532
121,3 Jul 2022 05:46:34.961,3 Jul 2022 05:53:26.591,411.630
122,3 Jul 2022 17:20:11.495,3 Jul 2022 17:28:12.557,481.063
123,4 Jul 2022 04:08:06.244,4 Jul 2022 04:14:41.311,395.067
124,4 Jul 2022 05:43:17.065,4 Jul 2022 05:50:10.047,412.982
125,4 Jul 2022 17:16:54.370,4 Jul 2022 17:24:55.593,481.223
126,5 Jul 2022 04:04:50.091,5 Jul 2022 04:11:23.676,393.585
127,5 Jul 2022 05:39:59.179,5 Jul 2022 05:46:53.495,414.317
128,5 Jul 2022 17:13:37.248,5 Jul 2022 17:21:38.625,481.377
129,6 Jul 2022 04:01:33.948,6 Jul 2022 04:08:06.035,392.086
130,6 Jul 2022 05:36:41.302,6 Jul 2022 05:43:36.940,415.638
131,6 Jul 2022 17:10:20.130,6 Jul 2022 17:18:21.648,481.518
132,7 Jul 2022 03:58:17.815,7 Jul 2022 04:04:48.386,390.571
133,7 Jul 2022 05:33:23.435,7 Jul 2022 05:40:20.375,416.940
134,7 Jul 2022 17:07:03.016,7 Jul 2022 17:15:04.666,481.650
135,8 Jul 2022 03:55:01.692,8 Jul 2022 04:01:30.730,389.038
136,8 Jul 2022 05:30:05.577,8 Jul 2022 05:37:03.804,418.227
137,8 Jul 2022 17:03:45.905,8 Jul 2022 17:11:47.677,481.772
138,9 Jul 2022 03:51:45.578,9 Jul 2022 03:58:13.065,387.486
139,9 Jul 2022 05:26:47.729,9 Jul 2022 05:33:47.227,419.498
140,9 Jul 2022 17:00:28.798,9 Jul 2022 17:08:30.682,481.884
141,10 Jul 2022 03:48:29.475,10 Jul 2022 03:54:55.393,385.918
142,10 Jul 2022 05:23:29.890,10 Jul 2022 05:30:30.640,420.751
143,10 Jul 2022 16:57:11.694,10 Jul 2022 17:05:13.680,481.986
144,11 Jul 2022 03:45:13.381,11 Jul 2022 03:51:37.714,384.333
145,11 Jul 2022 05:20:12.060,11 Jul 2022 05:27:14.051,421.991
146,11 Jul 2022 16:53:54.593,11 Jul 2022 17:01:56.672,482.079
147,12 Jul 2022 03:41:57.297,12 Jul 2022 03:48:20.033,382.736
148,12 Jul 2022 05:16:54.239,12 Jul 2022 05:23:57.454,423.216
149,12 Jul 2022 16:50:37.496,12 Jul 2022 16:58:39.658,482.162
150,13 Jul 2022 03:38:41.224,13 Jul 2022 03:45:02.339,381.116
151,13 Jul 2022 05:13:36.427,13 Jul 2022 05:20:40.850,424.423
