"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,27 Jun 2022 10:51:21.178,27 Jun 2022 10:59:07.563,466.386
81,27 Jun 2022 22:30:19.791,27 Jun 2022 22:36:23.339,363.548
82,28 Jun 2022 00:05:26.715,28 Jun 2022 00:11:57.483,390.768
83,28 Jun 2022 10:48:04.492,28 Jun 2022 10:55:50.269,465.777
84,28 Jun 2022 22:27:03.669,28 Jun 2022 22:33:05.024,361.355
85,29 Jun 2022 00:02:08.964,29 Jun 2022 00:08:41.430,392.467
86,29 Jun 2022 10:44:47.814,29 Jun 2022 10:52:32.969,465.156
87,29 Jun 2022 22:23:47.562,29 Jun 2022 22:29:46.692,359.130
88,29 Jun 2022 23:58:51.222,30 Jun 2022 00:05:25.366,394.144
89,30 Jun 2022 10:41:31.143,30 Jun 2022 10:49:15.664,464.521
90,30 Jun 2022 12:20:55.111,30 Jun 2022 12:21:14.163,19.052
91,30 Jun 2022 22:20:31.470,30 Jun 2022 22:26:28.342,356.873
92,30 Jun 2022 23:55:33.489,1 Jul 2022 00:02:09.289,395.800
93,1 Jul 2022 10:38:14.481,1 Jul 2022 10:45:58.354,463.873
94,1 Jul 2022 12:17:20.734,1 Jul 2022 12:18:13.920,53.186
95,1 Jul 2022 22:17:15.393,1 Jul 2022 22:23:09.974,354.581
96,1 Jul 2022 23:52:15.765,1 Jul 2022 23:58:53.201,397.436
97,2 Jul 2022 10:34:57.826,2 Jul 2022 10:42:41.038,463.212
98,2 Jul 2022 12:13:53.690,2 Jul 2022 12:15:06.353,72.663
99,2 Jul 2022 22:13:59.331,2 Jul 2022 22:19:51.587,352.256
100,2 Jul 2022 23:48:58.050,2 Jul 2022 23:55:37.097,399.047
101,3 Jul 2022 10:31:41.180,3 Jul 2022 10:39:23.715,462.535
102,3 Jul 2022 12:10:28.794,3 Jul 2022 12:11:56.641,87.847
103,3 Jul 2022 22:10:43.288,3 Jul 2022 22:16:33.183,349.895
104,3 Jul 2022 23:45:40.344,3 Jul 2022 23:52:20.985,400.640
105,4 Jul 2022 10:28:24.542,4 Jul 2022 10:36:06.389,461.847
106,4 Jul 2022 12:07:05.065,4 Jul 2022 12:08:45.768,100.704
107,4 Jul 2022 22:07:27.258,4 Jul 2022 22:13:14.760,347.502
108,4 Jul 2022 23:42:22.648,4 Jul 2022 23:49:04.861,402.213
109,5 Jul 2022 10:25:07.912,5 Jul 2022 10:32:49.057,461.146
110,5 Jul 2022 12:03:42.099,5 Jul 2022 12:05:34.130,112.031
111,5 Jul 2022 22:04:11.244,5 Jul 2022 22:09:56.318,345.073
112,5 Jul 2022 23:39:04.959,5 Jul 2022 23:45:48.729,403.769
113,6 Jul 2022 10:21:51.290,6 Jul 2022 10:29:31.720,460.430
114,6 Jul 2022 12:00:19.686,6 Jul 2022 12:02:21.937,122.251
115,6 Jul 2022 22:00:55.248,6 Jul 2022 22:06:37.856,342.608
116,6 Jul 2022 23:35:47.280,6 Jul 2022 23:42:32.583,405.303
117,7 Jul 2022 10:18:34.676,7 Jul 2022 10:26:14.378,459.702
