"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,20 Jun 2022 14:28:24.009,20 Jun 2022 14:32:04.077,220.068
81,21 Jun 2022 00:28:57.880,21 Jun 2022 00:34:10.649,312.769
82,21 Jun 2022 02:03:29.234,21 Jun 2022 02:10:37.607,428.373
83,21 Jun 2022 12:47:33.482,21 Jun 2022 12:55:06.043,452.561
84,21 Jun 2022 14:25:04.342,21 Jun 2022 14:28:49.159,224.816
85,22 Jun 2022 00:25:42.069,22 Jun 2022 00:30:51.945,309.875
86,22 Jun 2022 02:00:11.713,22 Jun 2022 02:07:21.258,429.545
87,22 Jun 2022 12:44:16.932,22 Jun 2022 12:51:48.660,451.728
88,22 Jun 2022 14:21:44.741,22 Jun 2022 14:25:34.179,229.438
89,23 Jun 2022 00:22:26.282,23 Jun 2022 00:27:33.218,306.936
90,23 Jun 2022 01:56:54.199,23 Jun 2022 02:04:04.899,430.699
91,23 Jun 2022 12:41:00.390,23 Jun 2022 12:48:31.271,450.881
92,23 Jun 2022 14:18:25.200,23 Jun 2022 14:22:19.141,233.941
93,24 Jun 2022 00:19:10.515,24 Jun 2022 00:24:14.463,303.948
94,24 Jun 2022 01:53:36.692,24 Jun 2022 02:00:48.529,431.837
95,24 Jun 2022 12:37:43.856,24 Jun 2022 12:45:13.876,450.020
96,24 Jun 2022 14:15:05.716,24 Jun 2022 14:19:04.048,238.331
97,25 Jun 2022 00:15:54.774,25 Jun 2022 00:20:55.681,300.907
98,25 Jun 2022 01:50:19.191,25 Jun 2022 01:57:32.150,432.960
99,25 Jun 2022 12:34:27.331,25 Jun 2022 12:41:56.477,449.146
100,25 Jun 2022 14:11:46.288,25 Jun 2022 14:15:48.899,242.611
101,26 Jun 2022 00:12:39.055,26 Jun 2022 00:17:36.872,297.817
102,26 Jun 2022 01:47:01.696,26 Jun 2022 01:54:15.763,434.067
103,26 Jun 2022 12:31:10.813,26 Jun 2022 12:38:39.072,448.259
104,26 Jun 2022 14:08:26.911,26 Jun 2022 14:12:33.706,246.795
105,27 Jun 2022 00:09:23.364,27 Jun 2022 00:14:18.034,294.670
106,27 Jun 2022 01:43:44.207,27 Jun 2022 01:50:59.366,435.159
107,27 Jun 2022 12:27:54.304,27 Jun 2022 12:35:21.661,447.357
108,27 Jun 2022 14:05:07.582,27 Jun 2022 14:09:18.466,250.884
109,28 Jun 2022 00:06:07.699,28 Jun 2022 00:10:59.166,291.467
110,28 Jun 2022 01:40:26.724,28 Jun 2022 01:47:42.961,436.237
111,28 Jun 2022 12:24:37.802,28 Jun 2022 12:32:04.245,446.442
112,28 Jun 2022 14:01:48.301,28 Jun 2022 14:06:03.182,254.881
113,29 Jun 2022 00:02:52.061,29 Jun 2022 00:07:40.268,288.207
114,29 Jun 2022 01:37:09.247,29 Jun 2022 01:44:26.543,437.295
115,29 Jun 2022 12:21:21.309,29 Jun 2022 12:28:46.822,445.513
116,29 Jun 2022 13:58:29.065,29 Jun 2022 14:02:47.858,258.793
117,29 Jun 2022 23:59:36.452,30 Jun 2022 00:04:21.338,284.886
118,30 Jun 2022 01:33:51.777,30 Jun 2022 01:41:10.119,438.342
119,30 Jun 2022 12:18:04.825,30 Jun 2022 12:25:29.392,444.567
120,30 Jun 2022 13:55:09.871,30 Jun 2022 13:59:32.493,262.622
121,30 Jun 2022 23:56:20.872,1 Jul 2022 00:01:02.375,281.503
122,1 Jul 2022 01:30:34.312,1 Jul 2022 01:37:53.689,439.377
123,1 Jul 2022 12:14:48.349,1 Jul 2022 12:22:11.959,443.610
124,1 Jul 2022 13:51:50.719,1 Jul 2022 13:56:17.086,266.367
125,1 Jul 2022 23:53:05.323,1 Jul 2022 23:57:43.379,278.057
126,2 Jul 2022 01:27:16.853,2 Jul 2022 01:34:37.249,440.396
127,2 Jul 2022 12:11:31.881,2 Jul 2022 12:18:54.520,442.639
128,2 Jul 2022 13:48:31.606,2 Jul 2022 13:53:01.646,270.040
129,2 Jul 2022 23:49:49.806,2 Jul 2022 23:54:24.349,274.543
130,3 Jul 2022 01:23:59.401,3 Jul 2022 01:31:20.800,441.399
131,3 Jul 2022 12:08:15.421,3 Jul 2022 12:15:37.075,441.654
132,3 Jul 2022 13:45:12.531,3 Jul 2022 13:49:46.171,273.640
133,3 Jul 2022 23:46:34.322,3 Jul 2022 23:51:05.283,270.961
134,4 Jul 2022 01:20:41.954,4 Jul 2022 01:28:04.342,442.388
135,4 Jul 2022 12:04:58.971,4 Jul 2022 12:12:19.625,440.654
136,4 Jul 2022 13:41:53.493,4 Jul 2022 13:46:30.663,277.170
137,4 Jul 2022 23:43:18.868,4 Jul 2022 23:47:46.184,267.315
