"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,20 Jun 2022 19:37:20.370,20 Jun 2022 19:43:25.377,365.007
81,21 Jun 2022 04:53:35.566,21 Jun 2022 04:58:50.280,314.714
82,21 Jun 2022 06:27:15.581,21 Jun 2022 06:35:12.581,477.001
83,21 Jun 2022 17:58:03.887,21 Jun 2022 18:05:47.832,463.946
84,21 Jun 2022 19:34:02.730,21 Jun 2022 19:40:09.296,366.567
85,22 Jun 2022 04:50:19.784,22 Jun 2022 04:55:32.416,312.632
86,22 Jun 2022 06:23:58.281,22 Jun 2022 06:31:55.613,477.331
87,22 Jun 2022 17:54:47.003,22 Jun 2022 18:02:30.370,463.367
88,22 Jun 2022 19:30:45.095,22 Jun 2022 19:36:53.205,368.109
89,23 Jun 2022 04:47:04.020,23 Jun 2022 04:52:14.537,310.517
90,23 Jun 2022 06:20:40.987,23 Jun 2022 06:28:38.639,477.652
91,23 Jun 2022 17:51:30.122,23 Jun 2022 17:59:12.901,462.780
92,23 Jun 2022 19:27:27.465,23 Jun 2022 19:33:37.107,369.642
93,24 Jun 2022 04:43:48.269,24 Jun 2022 04:48:56.647,308.378
94,24 Jun 2022 06:17:23.698,24 Jun 2022 06:25:21.665,477.967
95,24 Jun 2022 17:48:13.244,24 Jun 2022 17:55:55.426,462.182
96,24 Jun 2022 19:24:09.842,24 Jun 2022 19:30:21.000,371.158
97,25 Jun 2022 04:40:32.532,25 Jun 2022 04:45:38.746,306.215
98,25 Jun 2022 06:14:06.414,25 Jun 2022 06:22:04.687,478.273
99,25 Jun 2022 17:44:56.369,25 Jun 2022 17:52:37.946,461.577
100,25 Jun 2022 19:20:52.226,25 Jun 2022 19:27:04.885,372.659
101,26 Jun 2022 04:37:16.805,26 Jun 2022 04:42:20.835,304.030
102,26 Jun 2022 06:10:49.136,26 Jun 2022 06:18:47.708,478.572
103,26 Jun 2022 17:41:39.497,26 Jun 2022 17:49:20.458,460.961
104,26 Jun 2022 19:17:34.615,26 Jun 2022 19:23:48.761,374.146
105,27 Jun 2022 04:34:01.095,27 Jun 2022 04:39:02.913,301.818
106,27 Jun 2022 06:07:31.863,27 Jun 2022 06:15:30.726,478.863
107,27 Jun 2022 17:38:22.629,27 Jun 2022 17:46:02.965,460.336
108,27 Jun 2022 19:14:17.010,27 Jun 2022 19:20:32.629,375.619
109,28 Jun 2022 04:30:45.396,28 Jun 2022 04:35:44.979,299.582
110,28 Jun 2022 06:04:14.594,28 Jun 2022 06:12:13.735,479.141
111,28 Jun 2022 17:35:05.763,28 Jun 2022 17:42:45.466,459.703
112,28 Jun 2022 19:10:59.410,28 Jun 2022 19:17:16.491,377.081
