"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
80,27 Jun 2022 21:43:25.573,27 Jun 2022 21:50:30.399,424.826
81,27 Jun 2022 23:19:58.846,27 Jun 2022 23:24:07.490,248.645
82,28 Jun 2022 09:58:33.125,28 Jun 2022 10:06:29.958,476.833
83,28 Jun 2022 21:40:09.130,28 Jun 2022 21:47:12.554,423.424
84,28 Jun 2022 23:16:39.915,28 Jun 2022 23:20:52.734,252.818
85,29 Jun 2022 09:55:16.241,29 Jun 2022 10:03:12.803,476.562
86,29 Jun 2022 21:36:52.696,29 Jun 2022 21:43:54.696,422.000
87,29 Jun 2022 23:13:21.030,29 Jun 2022 23:17:37.929,256.898
88,30 Jun 2022 09:51:59.365,30 Jun 2022 09:59:55.643,476.278
89,30 Jun 2022 21:33:36.273,30 Jun 2022 21:40:36.829,420.556
90,30 Jun 2022 23:10:02.192,30 Jun 2022 23:14:23.078,260.886
91,1 Jul 2022 09:48:42.498,1 Jul 2022 09:56:38.476,475.978
92,1 Jul 2022 21:30:19.860,1 Jul 2022 21:37:18.948,419.088
93,1 Jul 2022 23:06:43.391,1 Jul 2022 23:11:08.185,264.794
94,2 Jul 2022 09:45:25.639,2 Jul 2022 09:53:21.302,475.663
95,2 Jul 2022 21:27:03.456,2 Jul 2022 21:34:01.057,417.600
96,2 Jul 2022 23:03:24.629,2 Jul 2022 23:07:53.252,268.623
97,3 Jul 2022 09:42:08.789,3 Jul 2022 09:50:04.123,475.334
98,3 Jul 2022 21:23:47.063,3 Jul 2022 21:30:43.151,416.087
99,3 Jul 2022 23:00:05.905,3 Jul 2022 23:04:38.272,272.367
100,4 Jul 2022 09:38:51.947,4 Jul 2022 09:46:46.938,474.991
101,4 Jul 2022 21:20:30.681,4 Jul 2022 21:27:25.232,414.552
102,4 Jul 2022 22:56:47.217,4 Jul 2022 23:01:23.258,276.041
103,5 Jul 2022 09:35:35.113,5 Jul 2022 09:43:29.746,474.633
104,5 Jul 2022 21:17:14.309,5 Jul 2022 21:24:07.302,412.993
105,5 Jul 2022 22:53:28.563,5 Jul 2022 22:58:08.206,279.644
106,6 Jul 2022 09:32:18.288,6 Jul 2022 09:40:12.549,474.261
107,6 Jul 2022 21:13:57.947,6 Jul 2022 21:20:49.359,411.411
108,6 Jul 2022 22:50:09.942,6 Jul 2022 22:54:53.119,283.177
109,7 Jul 2022 09:29:01.471,7 Jul 2022 09:36:55.343,473.872
110,7 Jul 2022 21:10:41.597,7 Jul 2022 21:17:31.402,409.805
111,7 Jul 2022 22:46:51.353,7 Jul 2022 22:51:37.998,286.645
112,8 Jul 2022 09:25:44.663,8 Jul 2022 09:33:38.132,473.469
113,8 Jul 2022 21:07:25.257,8 Jul 2022 21:14:13.432,408.175
114,8 Jul 2022 22:43:32.795,8 Jul 2022 22:48:22.843,290.048
115,9 Jul 2022 09:22:27.863,9 Jul 2022 09:30:20.921,473.058
116,9 Jul 2022 21:04:08.928,9 Jul 2022 21:10:55.446,406.518
117,9 Jul 2022 22:40:14.265,9 Jul 2022 22:45:07.656,293.391
118,10 Jul 2022 09:19:11.071,10 Jul 2022 09:27:03.697,472.626
119,10 Jul 2022 21:00:52.610,10 Jul 2022 21:07:37.449,404.839
120,10 Jul 2022 22:36:55.763,10 Jul 2022 22:41:52.437,296.674
121,11 Jul 2022 09:15:54.288,11 Jul 2022 09:23:46.468,472.180
122,11 Jul 2022 20:57:36.304,11 Jul 2022 21:04:19.438,403.134
123,11 Jul 2022 22:33:37.291,11 Jul 2022 22:38:37.188,299.898
124,12 Jul 2022 09:12:37.513,12 Jul 2022 09:20:29.235,471.722
125,12 Jul 2022 20:54:20.009,12 Jul 2022 21:01:01.413,401.404
126,12 Jul 2022 22:30:18.845,12 Jul 2022 22:35:21.910,303.065
127,13 Jul 2022 09:09:20.747,13 Jul 2022 09:17:11.993,471.246
128,13 Jul 2022 20:51:03.726,13 Jul 2022 20:57:43.371,399.645
129,13 Jul 2022 22:27:00.421,13 Jul 2022 22:32:06.603,306.182
130,14 Jul 2022 09:06:03.989,14 Jul 2022 09:13:54.747,470.758
131,14 Jul 2022 20:47:47.455,14 Jul 2022 20:54:25.317,397.863
132,14 Jul 2022 22:23:42.023,14 Jul 2022 22:28:51.264,309.241
133,15 Jul 2022 09:02:47.240,15 Jul 2022 09:10:37.495,470.255
134,15 Jul 2022 20:44:31.196,15 Jul 2022 20:51:07.252,396.056
135,15 Jul 2022 22:20:23.654,15 Jul 2022 22:25:35.904,312.250
136,16 Jul 2022 08:59:30.500,16 Jul 2022 09:07:20.237,469.737
137,16 Jul 2022 20:41:14.950,16 Jul 2022 20:47:49.169,394.219
138,16 Jul 2022 22:17:05.305,16 Jul 2022 22:22:20.517,315.213
139,17 Jul 2022 08:56:13.768,17 Jul 2022 09:04:02.972,469.204
140,17 Jul 2022 20:37:58.716,17 Jul 2022 20:44:31.071,392.355
141,17 Jul 2022 22:13:46.978,17 Jul 2022 22:19:05.105,318.127
142,18 Jul 2022 08:52:57.045,18 Jul 2022 09:00:45.702,468.657
143,18 Jul 2022 20:34:42.495,18 Jul 2022 20:41:12.957,390.463
144,18 Jul 2022 22:10:28.675,18 Jul 2022 22:15:49.668,320.994
145,19 Jul 2022 08:49:40.331,19 Jul 2022 08:57:28.425,468.094
146,19 Jul 2022 20:31:26.287,19 Jul 2022 20:37:54.829,388.542
147,19 Jul 2022 22:07:10.393,19 Jul 2022 22:12:34.207,323.814
148,20 Jul 2022 08:46:23.625,20 Jul 2022 08:54:11.142,467.517
149,20 Jul 2022 20:28:10.092,20 Jul 2022 20:34:36.683,386.592
150,20 Jul 2022 22:03:52.132,20 Jul 2022 22:09:18.722,326.590
151,21 Jul 2022 08:43:06.928,21 Jul 2022 08:50:53.852,466.924
152,21 Jul 2022 20:24:53.910,21 Jul 2022 20:31:18.521,384.611
153,21 Jul 2022 22:00:33.892,21 Jul 2022 22:06:03.214,329.322
154,22 Jul 2022 08:39:50.240,22 Jul 2022 08:47:36.557,466.317
155,22 Jul 2022 20:21:37.742,22 Jul 2022 20:28:00.344,382.602
156,22 Jul 2022 21:57:15.671,22 Jul 2022 22:02:47.684,332.012
157,23 Jul 2022 08:36:33.560,23 Jul 2022 08:44:19.255,465.694
158,23 Jul 2022 20:18:21.587,23 Jul 2022 20:24:42.156,380.569
159,23 Jul 2022 21:53:57.466,23 Jul 2022 21:59:32.131,334.665
160,24 Jul 2022 08:33:16.889,24 Jul 2022 08:41:01.946,465.057
161,24 Jul 2022 20:15:05.447,24 Jul 2022 20:21:23.946,378.500
162,24 Jul 2022 21:50:39.284,24 Jul 2022 21:56:16.557,337.274
163,25 Jul 2022 08:30:00.227,25 Jul 2022 08:37:44.631,464.404
164,25 Jul 2022 20:11:49.321,25 Jul 2022 20:18:05.717,376.396
165,25 Jul 2022 21:47:21.119,25 Jul 2022 21:53:00.963,339.843
166,26 Jul 2022 08:26:43.574,26 Jul 2022 08:34:27.310,463.736
167,26 Jul 2022 20:08:33.210,26 Jul 2022 20:14:47.474,374.264
168,26 Jul 2022 21:44:02.973,26 Jul 2022 21:49:45.348,342.375
169,27 Jul 2022 08:23:26.929,27 Jul 2022 08:31:09.983,463.053
170,27 Jul 2022 20:05:17.113,27 Jul 2022 20:11:29.214,372.101
171,27 Jul 2022 21:40:44.844,27 Jul 2022 21:46:29.713,344.869
172,28 Jul 2022 08:20:10.294,28 Jul 2022 08:27:52.649,462.355
173,28 Jul 2022 20:02:01.032,28 Jul 2022 20:08:10.936,369.904
174,28 Jul 2022 21:37:26.729,28 Jul 2022 21:43:14.058,347.329
175,29 Jul 2022 08:16:53.667,29 Jul 2022 08:24:35.309,461.641
176,29 Jul 2022 19:58:44.967,29 Jul 2022 20:04:52.638,367.671
177,29 Jul 2022 21:34:08.633,29 Jul 2022 21:39:58.385,349.752
178,30 Jul 2022 08:13:37.050,30 Jul 2022 08:21:17.959,460.910
179,30 Jul 2022 19:55:28.918,30 Jul 2022 20:01:34.325,365.407
180,30 Jul 2022 21:30:50.554,30 Jul 2022 21:36:42.694,352.140
181,31 Jul 2022 08:10:20.441,31 Jul 2022 08:18:00.606,460.165
182,31 Jul 2022 19:52:12.884,31 Jul 2022 19:58:15.995,363.111
183,31 Jul 2022 21:27:32.490,31 Jul 2022 21:33:26.984,354.494
184,1 Aug 2022 08:07:03.842,1 Aug 2022 08:14:43.247,459.405
185,1 Aug 2022 19:48:56.870,1 Aug 2022 19:54:57.644,360.773
186,1 Aug 2022 21:24:14.443,1 Aug 2022 21:30:11.256,356.813
187,2 Aug 2022 08:03:47.252,2 Aug 2022 08:11:25.881,458.629
188,2 Aug 2022 19:45:40.870,2 Aug 2022 19:51:39.272,358.402
189,2 Aug 2022 21:20:56.408,2 Aug 2022 21:26:55.508,359.101
190,3 Aug 2022 08:00:30.671,3 Aug 2022 08:08:08.505,457.834
191,3 Aug 2022 19:42:24.888,3 Aug 2022 19:48:20.881,355.993
192,3 Aug 2022 21:17:38.390,3 Aug 2022 21:23:39.743,361.354
193,4 Aug 2022 07:57:14.099,4 Aug 2022 08:04:51.126,457.027
194,4 Aug 2022 19:39:08.922,4 Aug 2022 19:45:02.469,353.547
195,4 Aug 2022 21:14:20.387,4 Aug 2022 21:20:23.961,363.574
196,5 Aug 2022 07:53:57.536,5 Aug 2022 08:01:33.740,456.203
197,5 Aug 2022 19:35:52.975,5 Aug 2022 19:41:44.036,351.061
198,5 Aug 2022 21:11:02.398,5 Aug 2022 21:17:08.158,365.760
199,6 Aug 2022 07:50:40.983,6 Aug 2022 07:58:16.347,455.364
200,6 Aug 2022 19:32:37.046,6 Aug 2022 19:38:25.583,348.536
201,6 Aug 2022 21:07:44.424,6 Aug 2022 21:13:52.341,367.918
202,7 Aug 2022 07:47:24.439,7 Aug 2022 07:54:58.944,454.506
203,7 Aug 2022 19:29:21.138,7 Aug 2022 19:35:07.108,345.970
204,7 Aug 2022 21:04:26.463,7 Aug 2022 21:10:36.510,370.048
205,8 Aug 2022 07:44:07.903,8 Aug 2022 07:51:41.535,453.632
206,8 Aug 2022 19:26:05.247,8 Aug 2022 19:31:48.612,343.365
207,8 Aug 2022 21:01:08.515,8 Aug 2022 21:07:20.660,372.145
208,9 Aug 2022 07:40:51.378,9 Aug 2022 07:48:24.120,452.743
209,9 Aug 2022 19:22:49.376,9 Aug 2022 19:28:30.093,340.717
210,9 Aug 2022 20:57:50.581,9 Aug 2022 21:04:04.797,374.216
211,10 Aug 2022 07:37:34.861,10 Aug 2022 07:45:06.699,451.837
212,10 Aug 2022 19:19:33.525,10 Aug 2022 19:25:11.552,338.027
213,10 Aug 2022 20:54:32.660,10 Aug 2022 21:00:48.918,376.258
214,11 Aug 2022 07:34:18.354,11 Aug 2022 07:41:49.270,450.915
215,11 Aug 2022 19:16:17.698,11 Aug 2022 19:21:52.987,335.289
216,11 Aug 2022 20:51:14.751,11 Aug 2022 20:57:33.023,378.272
217,12 Aug 2022 07:31:01.857,12 Aug 2022 07:38:31.834,449.977
